# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
170		1916		146182		1668
171		1916		146770		1668
172		1915		147357		1668
173		1914		147944		1669
174		1912		148526		1671
175		1912		149106		1671
176		1912		149686		1671
177		1910		150268		1670
178		1909		150847		1670
179		1909		151425		1670
180		1909		152005		1670
181		1908		152584		1668
182		1907		153159		1668
183		1907		153733		1668
184		1906		154306		1668
185		1906		154878		1668
186		1906		155450		1668
187		1905		156021		1668
188		1905		156591		1668
189		1903		157159		1671
190		1903		157727		1671
191		1902		158292		1672
192		1901		158857		1672
193		1899		159417		1672
194		1899		159975		1672
195		1899		160533		1672
196		1899		161091		1672
197		1899		161649		1672
198		1898		162206		1672
199		1898		162762		1672
200		1897		163317		1674
201		1896		163870		1675
202		1896		164422		1675
203		1895		164973		1675
204		1895		165525		1675
205		1895		166077		1675
206		1895		166631		1674
207		1895		167184		1673
208		1895		167737		1674
209		1895		168290		1673
210		1895		168843		1674
211		1894		169397		1672
212		1893		169949		1674
213		1892		170497		1673
214		1892		171044		1674
215		1892		171591		1673
216		1892		172138		1674
217		1892		172685		1673
218		1892		173232		1674
219		1892		173779		1673
220		1892		174326		1674
221		1892		174873		1673
222		1892		175420		1674
223		1892		175967		1673
224		1891		176513		1673
225		1890		177057		1672
226		1889		177599		1673
227		1888		178141		1674
228		1888		178682		1675
229		1888		179223		1674
230		1888		179764		1675
231		1888		180305		1674
232		1888		180846		1675
233		1887		181386		1674
234		1887		181925		1675
235		1887		182464		1674
236		1886		183004		1674
237		1886		183541		1673
238		1884		184082		1677
239		1884		184618		1677
240		1884		185154		1677
241		1884		185690		1677
242		1883		186227		1679
243		1883		186761		1679
244		1882		187294		1679
245		1881		187825		1681
246		1881		188355		1681
247		1880		188884		1680
248		1880		189412		1680
249		1880		189940		1680
250		1880		190468		1680
251		1879		190997		1679
252		1879		191523		1679
253		1878		192050		1678
254		1878		192574		1678
255		1878		193098		1678
256		1877		193621		1678
257		1875		194143		1677
258		1874		194662		1678
259		1874		195180		1678
260		1874		195698		1678
261		1874		196216		1678
262		1874		196734		1678
263		1874		197252		1678
264		1872		197768		1678
265		1870		198280		1679
266		1870		198790		1679
267		1870		199300		1679
268		1868		199808		1680
269		1869		200316		1681
270		1868		200824		1683
271		1868		201331		1683
272		1867		201836		1683
273		1867		202340		1683
274		1867		202844		1683
275		1865		203346		1686
276		1865		203846		1686
277		1864		204345		1686
278		1864		204845		1686
279		1863		205344		1684
280		1863		205842		1684
281		1863		206340		1684
282		1863		206838		1684
283		1861		207334		1686
284		1861		207828		1686
285		1860		208321		1686
286		1860		208813		1686
287		1860		209305		1686
288		1860		209797		1686
289		1860		210289		1686
290		1860		210781		1686
291		1860		211273		1686
292		1860		211765		1686
293		1860		212257		1686
294		1860		212749		1686
295		1860		213241		1686
296		1860		213733		1686
297		1860		214225		1686
298		1860		214717		1686
299		1858		215208		1685
300		1857		215697		1684
301		1857		216185		1684
302		1857		216673		1684
303		1856		217160		1685
304		1856		217646		1685
305		1855		218131		1686
306		1854		218616		1686
307		1854		219100		1686
308		1853		219583		1688
309		1852		220064		1687
310		1852		220544		1687
311		1852		221024		1687
312		1852		221504		1687
313		1852		221984		1687
314		1852		222464		1687
315		1852		222944		1687
316		1852		223424		1687
317		1852		223904		1687
318		1852		224384		1687
319		1852		224864		1687
320		1852		225344		1687
321		1852		225824		1687
322		1852		226304		1687
323		1852		226784		1687
324		1852		227264		1687
325		1852		227744		1687
326		1851		228223		1688
327		1851		228701		1688
328		1850		229178		1686
329		1850		229654		1686
330		1850		230130		1686
331		1850		230606		1686
332		1849		231081		1688
333		1849		231555		1688
334		1849		232029		1688
335		1849		232503		1688
336		1849		232977		1688
337		1848		233450		1686
338		1848		233922		1686
339		1848		234394		1686
340		1848		234866		1686
341		1848		235338		1686
342		1847		235809		1687
343		1848		236281		1688
344		1848		236754		1688
345		1848		237227		1688
346		1848		237699		1688
347		1847		238173		1688
348		1847		238645		1688
349		1847		239117		1688
350		1847		239589		1688
351		1847		240061		1688
352		1847		240533		1688
353		1847		241005		1688
354		1847		241477		1688
355		1847		241949		1688
356		1847		242421		1688
357		1846		242892		1688
358		1846		243362		1688
359		1846		243832		1688
360		1846		244302		1688
361		1846		244772		1688
362		1846		245242		1688
363		1846		245712		1688
364		1846		246182		1688
365		1846		246652		1688
366		1846		247122		1688
367		1846		247592		1688
368		1846		248062		1688
369		1846		248532		1688
370		1846		249002		1688
371		1846		249472		1688
372		1846		249942		1688
373		1845		250411		1687
374		1845		250879		1687
375		1845		251347		1687
376		1845		251815		1687
377		1845		252283		1687
378		1845		252751		1687
379		1845		253219		1687
380		1845		253687		1687
381		1845		254155		1687
382		1845		254623		1687
383		1844		255090		1687
384		1844		255556		1687
385		1844		256022		1687
386		1844		256488		1687
387		1844		256954		1687
388		1844		257420		1687
